,Actual Value Y,Predicted Values Y_test
192,34.4695945945946,30.308086883661545
40,83.2,50.402706547630764
175,39.2,16.77920200233075
275,18.6,32.077241683270735
127,11.8,20.483949454948963
180,34.5,47.32835393506002
245,34.4695945945946,26.102137054517144
2,5.8,22.488118543640955
168,19.1,27.846660433425583
82,62.2,60.15593647123149
248,49.3,37.44018520588542
239,12.7,7.410336095259485
226,18.8,25.123355692651565
291,79.5,48.9229457240783
293,42.6,45.52067680121942
263,12.1,24.27747430286353
129,12.9,18.770712072781507
47,1.7,19.78744711447863
229,43.0,31.160011100863162
38,71.3,62.27907783355339
37,15.4,28.81577423609929
80,71.4,70.39916952703041
246,45.0,49.94268146670251
29,5.6,9.772235410777661
242,37.1,31.850746850972946
79,52.1,39.39606205485662
189,34.4695945945946,28.04832666842281
289,20.3,25.551479834224846
270,29.9,57.01029500088487
61,61.7,51.8651167275938
153,78.7,84.22800353049414
89,18.0,22.659459202380916
36,46.3,28.507925502691393
113,25.7,49.0843223042283
126,58.1,53.84688432573607
90,73.7,78.49457722446616
108,57.2,43.13088469783977
200,126.5,74.72716153677324
182,49.2,42.411461829348355
178,19.3,30.567154655059706
190,32.8,56.06150175579886
109,5.0,-1.5539489842373726
284,24.3,34.30249333485933
96,30.7,45.62588273036759
160,50.6,51.45329243909087
269,74.8,64.08236422249809
163,12.0,11.292723376784345
253,16.2,24.660876966577433
53,4.2,12.612962312863413
290,11.1,21.299931819465378
225,66.2,61.60298762435765
60,60.1,38.77317774168198
12,24.1,3.615676093332034
41,57.2,39.88269704325733
218,61.7,48.97146281914598
288,30.3,28.186740614378472
157,70.5,49.520689176127185
1,26.9,37.257677430333466
137,13.6,17.463089057832878
98,75.5,44.71420343045083
138,15.5,24.42786801635085
